Year,Total Military,Population,Military/Pop
1789,718,3804342,0.018873172
1790,N/A,3929214,
1791,N/A,4049227,
1792,N/A,4172906,
1793,N/A,4300363,
1794,5669,4431713,0.127918933
1795,5296,4567074,0.11596046
1796,N/A,4706570,
1797,N/A,4850327,
1798,N/A,4998475,
1799,N/A,5151147,
1800,N/A,5308483,
1801,7108,5475787,0.129807825
1802,5432,5648363,0.096169457
1803,4528,5826379,0.077715507
1804,5323,6010005,0.088568978
1805,6498,6199418,0.104816291
1806,4076,6394801,0.063739278
1807,5323,6596341,0.080696253
1808,8200,6804234,0.120513198
1809,12375,7018678,0.176315255
1810,11554,7239881,0.159588258
1811,11528,7450047,0.154737279
1812,12631,7666314,0.164759753
1813,25152,7888859,0.318829377
1814,46858,8117864,0.577220806
1815,40885,8353517,0.48943457
1816,16743,8596011,0.194776391
1817,14606,8845544,0.165122688
1818,14260,9102321,0.156663339
1819,13259,9366552,0.141556893
1820,15113,9638453,0.156799022
1821,10587,9920899,0.106714119
1822,9863,10211622,0.096586027
1823,10871,10510864,0.103426322
1824,11008,10818875,0.101748102
1825,11089,11135912,0.099578732
1826,11586,11462239,0.101079728
1827,11627,11798130,0.098549516
1828,11431,12143863,0.09412985
1829,12096,12499727,0.096770113
1830,11942,12866020,0.092818136
1831,11173,13234933,0.084420526
1832,12478,13614425,0.091652787
1833,12895,14004798,0.092075587
1834,13396,14406364,0.092986683
1835,14311,14819444,0.096569075
1836,16874,15244369,0.110690052
1837,22462,15681478,0.143239049
1838,17948,16131120,0.111263198
1839,19317,16593655,0.116411966
1840,21616,17069453,0.126635575
1841,20793,17600752,0.118136998
1842,22851,18148589,0.125910615
1843,20741,18713477,0.110834561
1844,20919,19295948,0.108411362
1845,20726,19896549,0.104168818
1846,39165,20515843,0.190901246
1847,57761,21154414,0.27304467
1848,60308,21812861,0.276479092
1849,23165,22491802,0.102993082
1850,20824,23191876,0.089790063
1851,20699,23908654,0.086575346
1852,21349,24647586,0.086617002
1853,20667,25409355,0.081336185
1854,21134,26194668,0.080680542
1855,26402,27004251,0.097769792
1856,25867,27838857,0.09291689
1857,27345,28699257,0.095281212
1858,29014,29586249,0.098065828
1859,28978,30500654,0.095007799
1860,27958,31443321,0.088915544
1861,217112,32091309,0.676544544
1862,673124,32752651,2.055174099
1863,960061,33427622,2.872058922
1864,1031724,34116504,3.024119939
1865,1062848,34819581,3.052443394
1866,76749,35537148,0.215968372
1867,74886,36269502,0.20647099
1868,66412,37016949,0.179409708
1869,51632,37779799,0.136665629
1870,50348,38558371,0.130576056
1871,42238,39588390,0.106692897
1872,42205,40645925,0.103835747
1873,43228,41731710,0.103585499
1874,43609,42846500,0.101779609
1875,38105,43991069,0.086619855
1876,40591,45166214,0.089870273
1877,34094,46372750,0.073521626
1878,36444,47611517,0.076544505
1879,38022,48883375,0.077781045
1880,37894,50189209,0.075502286
1881,37845,51341603,0.073712151
1882,37850,52520456,0.072067158
1883,37278,53726378,0.069384912
1884,39400,54959988,0.071688516
1885,39098,56221923,0.069542267
1886,38636,57512834,0.067178049
1887,38763,58833385,0.065886061
1888,39035,60184258,0.064859153
1889,39452,61566147,0.064080671
1890,38666,62979766,0.061394321
1891,37868,64182404,0.059000595
1892,38677,65408007,0.059131904
1893,39492,66657014,0.059246578
1894,42101,67929871,0.061977153
1895,42226,69227035,0.060996401
1896,41680,70548968,0.059079532
1897,43656,71896145,0.060720919
1898,235785,73269047,0.321807106
1899,100166,74668165,0.134148201
1900,125923,76094000,0.165483481
1901,112322,77584000,0.144774696
1902,111145,79163000,0.140400187
1903,106043,80632000,0.131514783
1904,110129,82166000,0.134032325
1905,108301,83822000,0.12920355
1906,112216,85450000,0.131323581
1907,108375,87008000,0.124557512
1908,128500,88710000,0.144854019
1909,142200,90490000,0.157144436
1910,139344,92407000,0.150793771
1911,144846,93863000,0.154316397
1912,153174,95335000,0.160669219
1913,154914,97225000,0.159335562
1914,165919,99111000,0.16740725
1915,174112,100546000,0.173166511
1916,179376,101961000,0.175926089
1917,643833,103268000,0.62345838
1918,2897167,103208000,2.807114759
1919,1172602,104514000,1.121956867
1920,343302,106461000,0.322467382
1921,386542,108538000,0.356135178
1922,270207,110049000,0.245533353
1923,247031,111947000,0.220667816
1924,261189,114109000,0.228894303
1925,251756,115829000,0.21735144
1926,247396,117397000,0.210734516
1927,248943,119035000,0.209134288
1928,250907,120509000,0.208206026
1929,255031,121767000,0.209441803
1930,255648,123076741,0.207714307
1931,252605,124039648,0.203648595
1932,244902,124840471,0.196171961
1933,243845,125578763,0.194176941
1934,247137,126373773,0.195560356
1935,251799,127250232,0.197877046
1936,291356,128053180,0.227527344
1937,311808,128824829,0.242040298
1938,322932,129824939,0.248744195
1939,334473,130879718,0.255557549
1940,458365,132122446,0.346924398
1941,1801101,133402471,1.350125666
1942,3858791,134859553,2.861340494
1943,9044745,136739353,6.614588121
1944,11451719,138397345,8.274522174
1945,12055884,139928165,8.615766526
1946,3024893,141388566,2.139418402
1947,1582111,144126071,1.097727142
1948,1444283,146631302,0.984975909
1949,1613686,149188130,1.081645034
1950,1459462,152271417,0.958460904
1951,3249371,154877889,2.098021235
1952,3635912,157552740,2.307742791
1953,3555067,160184192,2.219361946
1954,3302104,163025854,2.025509402
1955,2935107,165931202,1.768869848
1956,2806441,168903031,1.661569353
1957,2794761,171984130,1.625010982
1958,2599518,174881904,1.486441959
1959,2503631,177829628,1.407881818
1960,2475438,180671158,1.370134573
1961,2482905,183691481,1.351671284
1962,2805603,186537737,1.50404044
1963,2698927,189241798,1.426179115
1964,2685782,191888791,1.399655491
1965,2653926,194302963,1.365870061
1966,3092175,196560338,1.573142899
1967,3375485,198712056,1.698681533
1968,3546071,200706052,1.766798243
1969,3458072,202676946,1.706198987
1970,3064760,205052174,1.494624485
1971,2713044,207660677,1.306479416
1972,2321959,209896021,1.106242505
1973,2251936,211908788,1.06269118
1974,2162005,213853928,1.01097278
1975,2128120,215973199,0.985363003
1976,2081910,218035164,0.954850567
1977,2074543,220239425,0.941948972
1978,2061708,222584545,0.92625838
1979,2026892,225055487,0.900618788
1980,2050627,227224681,0.902466665
1981,2082560,229465714,0.907569137
1982,2108612,231664458,0.910200908
1983,2123349,233791994,0.908221434
1984,2138157,235824902,0.906671425
1985,2151032,237923795,0.904084436
1986,2169112,240132887,0.903296515
1987,2174217,242288918,0.897365434
1988,2138213,244498982,0.874528386
1989,2130229,246819230,0.863072541
1990,2043705,249438712,0.819321501
1991,1985555,252127402,0.787520509
1992,1807177,254994517,0.708712101
1993,1705103,257746103,0.661543659
1994,1610490,260289237,0.618730924
1995,1518224,262764948,0.577787871
1996,1471722,265189794,0.554969321
1997,1438562,267743595,0.537290911
1998,1594000,270298524,0.589718352
1999,1575000,272690813,0.577577214
2000,1454800,282171957,0.515572141
2001,1420700,285081556,0.49834862
2002,1467000,287803914,0.509722046
2003,1480000,290326418,0.50977104
2004,1473000,293045739,0.502651909
2005,1546000,295753151,0.52273323
2006,1498000,298593212,0.501685886
2007,1555000,301579895,0.515617926
2008,1540000,304374846,0.505955081
2009,1563996,307006550,0.509434082
2010,1569417,310232863,0.505883543
